Date shift from current,Total learners,Visits,Video Content Examples,Google Document Example,Image Explorer,PDF,iFrame Example,Scorm Example,H5P Content,Calendar + Quizzes,Discussion,Survey Example,Poll Example,Feedback Gathering,Online Lecture/Conference,Single/Multiple Choice,Free Text Response,Staff Graded Assignments,Numerical Input,Math Expression Assessment
-118,3447,10341,,,,,,,,,,,2792,2068,2792,1551,1138,,,
-117,3471,10413,,,,,,,,,,,2916,1562,2916,1562,1457,,,
-116,3499,6998,,,,,,,,,,,1750,1120,1400,1050,1678,,,
-115,3527,3527,,,,,,,,,,,1023,635,846,705,318,,,
-114,3551,3551,,,,,,,,,,,746,533,923,568,781,,,
-113,3577,10731,,,,,,,,,,,2790,2146,3112,2146,537,,,
-112,3599,3599,,,,,,,,,,,1044,504,1080,576,395,,,
-111,3622,7244,,,,,,,,,,,1594,1159,1449,942,2100,,,
-110,3649,3649,,,,,,,,,,,876,438,730,474,1131,,,
-109,3674,7348,,,,,,,,,,,1764,1323,1764,1396,1101,,,
-108,3693,7386,,,,,,,,,,,1477,1477,1847,960,1625,,,
-107,3716,7432,,,,,,,,,,,2007,818,1561,1338,1708,,,
-106,3741,3741,,,,,,,,,,,898,412,973,486,972,,,
-105,3765,3765,,,,,,,,,,,1092,678,979,640,376,,,
-104,3790,11370,,,,,,,,,,,3184,1706,2729,2274,1477,,,
-103,3817,3817,,,,,,,,,,,763,763,1069,649,573,,,
-102,3840,7680,,,,,,,,,,,2074,768,2304,1229,1305,,,
-101,3862,11586,,,,,,,,,,,2317,1274,2317,1506,4172,,,
-100,3886,7772,,,,,,,,,,,1943,1010,1710,1166,1943,,,
-99,3913,3913,,,,,,,,,,,1057,509,900,783,664,,,
-98,3933,3933,,,,,,,,,,,1180,472,787,590,904,,,
-97,3955,7910,,,,,,,,,,,1661,1424,1661,1107,2057,,,
-96,3977,3977,,,,,,,,,,,1153,756,1114,477,477,,,
-95,4002,12006,,,,,,,,,,,3482,2281,3602,1921,720,,,
-94,4027,4027,,,,,,,,,,,886,805,1047,524,765,,,
-93,4049,8098,,,,,,,,,,,1701,810,1782,1620,2185,,,
-92,4076,8152,,,,,,,,,,,2364,1223,2201,897,1467,,,
-91,4101,4101,,,,,,,,,,,1230,738,943,738,452,,,
-90,4128,8256,,,,,,,,,,,1981,908,1816,1321,2230,,,
-89,4151,12453,,,,,,,,,,,2864,1743,2989,1868,2989,,,
-88,4174,8348,,,,,,,,,,,2337,1252,2254,918,1587,,,
-87,4196,12588,,,,,,,,,,,3776,1888,3651,1636,1637,,,
-86,4222,8444,,,,,,,,,,,2280,1604,1942,1351,1267,,,
-85,4247,8494,,,,,,,,,,,1869,1189,2039,849,2548,,,
-84,4271,8542,,,,,,,,,,,1708,1196,2477,1452,1709,,,
-83,4297,8594,,,,,,,,,,,2063,859,2578,1031,2063,,,
-82,4324,8648,,,,,,,,,,,2248,1124,2594,951,1731,,,
-81,4348,4348,,,,,,,,,,,1130,870,1261,478,609,,,
-80,4373,8746,,,,,,,,,,,2012,1137,1837,1662,2098,,,
-79,4400,8800,,,,,,,,,,,2464,968,1848,1496,2024,,,
-78,4430,4430,,,,,,,,,,,1152,665,1196,532,885,,,
-77,4452,8904,658,396,396,460,411,450,663,460,411,396,420,406,683,658,475,678,495,388
-76,4476,13428,1044,604,739,686,746,627,992,739,664,664,671,612,970,1007,619,992,746,306
-75,4501,4501,350,218,223,223,218,240,328,238,205,203,220,210,345,343,235,343,250,109
-74,4527,4527,352,224,214,234,221,206,350,249,211,201,221,201,329,334,246,345,252,137
-73,4548,13644,1061,644,637,652,697,644,1023,652,644,614,606,667,1023,985,659,1008,758,670
-72,4573,13719,1059,625,694,716,762,762,1059,610,640,678,625,671,1021,1067,762,991,762,215
-71,4597,4597,347,220,253,243,248,232,332,253,212,220,227,230,352,332,235,355,255,51
-70,4622,4622,347,223,208,234,229,252,347,254,223,216,218,211,349,339,247,359,257,109
-69,4646,4646,351,227,240,209,235,240,343,253,232,217,227,214,354,343,230,359,258,114
-68,4673,9346,675,436,472,488,462,436,696,519,467,431,436,441,696,680,483,717,519,292
-67,4699,9398,721,418,428,501,480,428,694,517,459,470,433,418,715,700,439,679,522,376
-66,4722,4722,359,220,220,239,223,236,349,254,231,220,231,226,365,352,231,352,262,152
-65,4747,14241,1092,696,641,720,728,688,1044,767,665,712,688,633,1052,1068,760,1092,791,404
-64,4776,9552,700,435,478,494,472,462,690,515,430,462,440,446,743,695,515,743,531,301
-63,4803,9606,726,427,438,496,523,464,747,523,480,454,454,470,715,694,502,736,534,223
-62,4828,4828,365,215,247,231,247,225,367,223,220,215,241,241,370,362,257,367,268,167
-61,4857,4857,375,227,232,264,248,256,351,240,237,224,227,232,370,370,262,351,270,121
-60,4878,9756,743,466,531,482,526,488,743,504,482,444,466,461,748,737,455,710,542,228
-59,4899,9798,746,479,523,479,517,435,719,484,457,435,490,474,746,751,441,729,544,349
-58,4926,4926,361,235,257,260,274,268,361,244,244,219,244,235,364,383,252,375,274,76
-57,4949,9898,770,484,533,539,462,440,737,517,440,473,467,495,770,770,484,731,550,236
-56,4973,9946,757,475,514,536,492,553,757,486,486,486,453,470,729,763,508,718,553,210
-55,4998,14994,1100,750,791,691,683,766,1150,808,750,708,691,750,1091,1141,675,1158,833,458
-54,5025,15075,1106,670,771,687,838,704,1114,704,678,704,720,745,1089,1164,821,1122,838,600
-53,5050,10100,763,494,516,539,483,527,763,449,449,477,466,499,741,769,488,774,561,342
-52,5077,10154,762,485,491,491,474,553,784,474,457,457,479,502,739,767,502,762,564,411
-51,5099,5099,380,238,272,232,244,261,374,269,241,232,246,244,388,385,283,397,283,130
-50,5122,10244,785,495,524,569,524,512,757,467,495,455,484,501,751,757,558,746,569,295
-49,5143,10286,800,457,554,514,480,486,749,514,457,491,503,474,743,760,514,777,571,442
-48,5172,10344,799,488,534,500,534,517,799,483,506,500,511,465,759,764,569,793,575,248
-47,5195,5195,390,231,283,268,242,242,404,257,245,260,251,257,387,384,242,395,289,168
-46,5221,5221,386,252,238,252,255,232,392,281,247,252,261,247,380,383,273,389,290,211
-45,5248,10496,816,525,560,531,571,531,816,542,466,507,484,490,799,805,484,770,583,216
-44,5274,15822,1231,721,738,730,703,703,1187,844,747,774,721,747,1187,1143,774,1143,879,850
-43,5296,5296,394,253,235,250,262,294,412,291,235,241,247,262,397,403,253,394,294,179
-42,5317,5317,402,248,269,269,295,278,390,254,239,254,263,260,402,393,248,414,295,144
-41,5342,10684,807,516,528,493,516,522,825,576,516,528,499,505,831,831,493,795,594,309
-40,5369,16107,1181,752,779,716,859,895,1163,761,752,752,770,743,1199,1190,796,1172,895,732
-39,5395,5395,411,267,285,273,300,294,402,291,258,252,264,249,393,411,276,420,300,49
-38,5421,10842,831,512,572,536,482,536,783,542,542,524,524,512,825,807,590,825,602,297
-37,5450,10900,811,491,545,509,593,503,799,606,491,515,509,491,805,805,557,805,606,459
-36,5479,10958,804,487,499,487,554,566,804,530,493,530,548,530,797,834,548,840,609,498
-35,5501,5501,400,272,254,272,244,266,422,269,260,275,263,272,416,400,303,397,306,210
-34,5525,5525,399,267,252,261,298,246,427,285,264,255,249,261,424,399,264,399,307,268
-33,5550,11100,839,555,611,530,537,512,808,580,549,493,530,549,826,845,543,814,617,362
-32,5573,16719,1300,799,873,808,882,910,1300,892,743,790,808,836,1300,1207,873,1235,929,234
-31,5599,5599,426,261,292,252,286,286,417,292,261,264,258,268,407,414,292,411,311,201
-30,5626,11252,863,556,531,606,550,506,813,519,500,550,513,544,825,869,544,856,625,482
-29,5651,16953,1262,848,914,923,829,801,1319,819,763,782,810,838,1290,1309,819,1309,942,376
-28,5676,5676,423,277,277,268,284,271,419,296,271,271,252,259,426,423,290,426,315,228
-27,5695,11390,823,563,595,614,582,519,842,557,570,544,563,544,854,829,538,880,633,340
-26,5718,5718,432,267,299,286,302,267,422,302,257,283,267,276,438,432,289,438,318,143
-25,5747,5747,418,271,281,262,313,281,447,265,265,275,265,268,434,428,310,425,319,220
-24,5770,5770,430,263,292,317,282,266,446,279,279,285,289,285,446,423,256,420,321,191
-23,5791,5791,444,267,280,286,280,267,447,257,290,286,261,280,450,428,261,428,322,257
-22,5817,5817,420,281,310,265,281,265,433,284,278,268,291,288,423,449,271,443,323,244
-21,5838,5838,454,259,285,324,324,276,435,321,259,272,285,292,422,431,289,428,324,158
-20,5860,11720,866,579,651,606,553,599,846,579,573,521,521,527,853,846,645,912,651,392
-19,5881,5881,444,274,301,261,297,297,454,327,288,268,265,278,425,425,278,457,327,215
-18,5906,11812,899,571,577,545,545,558,886,577,551,545,564,577,912,892,525,886,656,546
-17,5930,5930,445,264,273,290,303,297,438,300,283,290,297,287,441,458,264,448,329,223
-16,5956,11912,867,549,529,642,642,563,874,655,549,596,589,569,893,860,655,913,662,305
-15,5978,17934,1365,857,917,976,966,976,1395,887,827,847,847,857,1295,1335,877,1385,996,329
-14,6002,6002,440,287,320,320,273,293,463,297,277,273,270,300,460,450,317,453,333,176
-13,6027,6027,459,298,281,268,308,308,465,305,271,301,271,298,469,465,278,462,335,185
-12,6050,6050,464,296,286,276,323,336,450,276,303,286,286,296,464,457,286,471,336,158
-11,6075,6075,473,273,321,338,331,280,469,297,304,270,287,284,446,446,300,456,338,162
-10,6099,6099,474,305,291,325,288,288,464,302,295,302,285,291,461,468,295,471,339,155
-9,6121,6121,476,303,289,316,279,275,462,303,306,303,282,282,449,473,289,476,340,218
-8,6148,6148,451,277,290,287,283,273,475,324,304,297,290,297,451,458,314,461,342,274
-7,6173,12346,919,617,604,610,665,617,940,672,597,556,597,576,919,892,590,947,686,342
-6,6193,12386,895,606,564,633,578,647,915,688,564,557,619,571,929,929,599,956,688,448
-5,6221,12442,906,594,657,664,664,594,899,643,622,615,588,567,968,933,560,933,691,344
-4,6243,18729,1373,926,895,832,957,1030,1384,1030,926,895,853,843,1373,1446,988,1457,1041,480
-3,6271,12542,934,613,641,564,606,613,969,662,627,585,599,620,955,920,683,941,697,313
-2,6291,6291,486,304,294,308,294,318,461,339,311,311,311,304,454,458,350,475,350,163
-1,6316,6316,467,295,337,284,281,351,467,319,295,309,309,295,488,477,326,481,351,184
0,6341,6341,493,292,310,342,324,335,461,306,317,296,299,299,483,476,303,472,352,181
