Learner,Country,Gender,YOB,Level of Education
Learner 7012,Turkey,Female,1955,Master's Degree
Learner 7017,Ukraine,Female,1955,Academic Degree
Learner 7024,Switzerland,Male,1955,Academic Degree
Learner 7051,Switzerland,Male,1955,Master's Degree
Learner 7052,Switzerland,Male,1955,Master's Degree
Learner 7053,Ukraine,Male,1955,Academic Degree
Learner 6572,Netherlands,Female,1956,Master's Degree
Learner 6574,Turkey,Male,1956,Academic Degree
Learner 6585,Ukraine,Female,1956,Master's Degree
Learner 6592,Switzerland,Female,1956,Academic Degree
Learner 6596,China,Male,1956,Master's Degree
Learner 6617,Indonesia,Female,1956,Academic Degree
Learner 6625,Switzerland,Female,1956,Academic Degree
Learner 6637,India,Female,1956,Master's Degree
Learner 6671,Brazil,Male,1956,Academic Degree
Learner 6695,China,Female,1956,Master's Degree
Learner 6701,Mexico,Male,1956,Academic Degree
Learner 6715,China,Male,1956,Academic Degree
Learner 6741,India,Male,1956,Master's Degree
Learner 6759,Netherlands,Male,1956,Academic Degree
Learner 6760,Japan,Female,1956,Academic Degree
Learner 6779,Indonesia,Male,1956,Master's Degree
Learner 6788,Turkey,Male,1956,Master's Degree
Learner 6790,Switzerland,Female,1956,Academic Degree
Learner 6791,Mexico,Female,1956,Master's Degree
Learner 6795,China,Female,1956,Master's Degree
Learner 6828,Switzerland,Female,1956,Academic Degree
Learner 6849,Mexico,Male,1956,Academic Degree
Learner 6877,Ukraine,Male,1956,Academic Degree
Learner 6889,Brazil,Female,1956,Academic Degree
Learner 6891,Indonesia,Female,1956,Academic Degree
Learner 6893,China,Male,1956,Academic Degree
Learner 6896,Brazil,Female,1956,Academic Degree
Learner 6900,Switzerland,Male,1956,Master's Degree
Learner 6901,Switzerland,Male,1956,Academic Degree
Learner 6903,Netherlands,Male,1956,Master's Degree
Learner 6904,Netherlands,Female,1956,Master's Degree
Learner 6911,Netherlands,Female,1956,Master's Degree
Learner 6916,Japan,Male,1956,Master's Degree
Learner 6932,Mexico,Male,1956,Academic Degree
Learner 6948,Switzerland,Male,1956,Master's Degree
Learner 6962,Mexico,Female,1956,Academic Degree
Learner 6972,Ukraine,Male,1956,Academic Degree
Learner 6983,China,Male,1956,Academic Degree
Learner 7014,Switzerland,Male,1956,Master's Degree
Learner 7016,India,Female,1956,Master's Degree
Learner 7037,Mexico,Male,1956,Master's Degree
Learner 7040,China,Male,1956,Academic Degree
Learner 7046,China,Female,1956,Academic Degree
Learner 6575,Mexico,Male,1957,Academic Degree
Learner 6605,Ukraine,Male,1957,Academic Degree
Learner 6608,Turkey,Male,1957,Master's Degree
Learner 6626,Japan,Male,1957,Academic Degree
Learner 6644,Ukraine,Female,1957,Master's Degree
Learner 6645,Mexico,Female,1957,Academic Degree
Learner 6649,China,Male,1957,Academic Degree
Learner 6650,Netherlands,Male,1957,Master's Degree
Learner 6658,Netherlands,Female,1957,Master's Degree
Learner 6673,Netherlands,Male,1957,Academic Degree
Learner 6676,Mexico,Female,1957,Academic Degree
Learner 6694,Ukraine,Female,1957,Master's Degree
Learner 6728,China,Female,1957,Academic Degree
Learner 6731,Japan,Male,1957,Master's Degree
Learner 6751,India,Female,1957,Master's Degree
Learner 6771,Mexico,Female,1957,Master's Degree
Learner 6780,Switzerland,Female,1957,Academic Degree
Learner 6794,India,Female,1957,Master's Degree
Learner 6832,Turkey,Male,1957,Academic Degree
Learner 6833,Switzerland,Female,1957,Master's Degree
Learner 6836,Mexico,Male,1957,Academic Degree
Learner 6839,Turkey,Male,1957,Academic Degree
Learner 6843,China,Male,1957,Academic Degree
Learner 6850,Switzerland,Male,1957,Master's Degree
Learner 6852,Switzerland,Male,1957,Academic Degree
Learner 6856,Ukraine,Male,1957,Academic Degree
Learner 6868,Brazil,Female,1957,Master's Degree
Learner 6869,Indonesia,Male,1957,Academic Degree
Learner 6870,Turkey,Female,1957,Master's Degree
Learner 6876,Brazil,Female,1957,Master's Degree
Learner 6897,Mexico,Female,1957,Master's Degree
Learner 6940,Japan,Female,1957,Master's Degree
Learner 6941,Japan,Female,1957,Academic Degree
Learner 6943,Switzerland,Male,1957,Academic Degree
Learner 6954,China,Female,1957,Academic Degree
Learner 6955,India,Female,1957,Master's Degree
Learner 6958,Turkey,Male,1957,Master's Degree
Learner 6973,Japan,Female,1957,Academic Degree
Learner 6980,Ukraine,Female,1957,Academic Degree
Learner 6987,Japan,Male,1957,Academic Degree
Learner 6994,Mexico,Female,1957,Academic Degree
Learner 7002,Japan,Female,1957,Master's Degree
Learner 7011,Switzerland,Female,1957,Academic Degree
Learner 7018,Turkey,Male,1957,Academic Degree
Learner 7020,Ukraine,Female,1957,Academic Degree
Learner 7049,Japan,Female,1957,Master's Degree
Learner 6581,Netherlands,Female,1958,Academic Degree
Learner 6609,Switzerland,Female,1958,Academic Degree
Learner 6619,Mexico,Female,1958,Academic Degree
Learner 6635,Brazil,Female,1958,Master's Degree
Learner 6656,India,Female,1958,Master's Degree
Learner 6677,Mexico,Female,1958,Master's Degree
Learner 6692,Netherlands,Male,1958,Academic Degree
Learner 6710,Mexico,Female,1958,Master's Degree
Learner 6717,Mexico,Male,1958,Academic Degree
Learner 6735,China,Male,1958,Academic Degree
Learner 6736,Brazil,Female,1958,Academic Degree
Learner 6762,Brazil,Female,1958,Master's Degree
Learner 6775,China,Female,1958,Master's Degree
Learner 6783,Japan,Male,1958,Academic Degree
Learner 6804,China,Male,1958,Master's Degree
Learner 6810,Turkey,Female,1958,Academic Degree
Learner 6814,India,Female,1958,Master's Degree
Learner 6816,Indonesia,Male,1958,Master's Degree
Learner 6821,China,Male,1958,Master's Degree
Learner 6823,Switzerland,Female,1958,Academic Degree
Learner 6841,Switzerland,Female,1958,Academic Degree
Learner 6845,Brazil,Male,1958,Master's Degree
Learner 6854,Turkey,Female,1958,Academic Degree
Learner 6857,Mexico,Female,1958,Master's Degree
Learner 6885,Brazil,Female,1958,Master's Degree
Learner 6906,Netherlands,Male,1958,Academic Degree
Learner 6909,Switzerland,Male,1958,Master's Degree
Learner 6912,Indonesia,Male,1958,Master's Degree
Learner 6913,Brazil,Female,1958,Academic Degree
Learner 6930,Switzerland,Male,1958,Master's Degree
Learner 6942,India,Female,1958,Academic Degree
Learner 6951,Indonesia,Female,1958,Academic Degree
Learner 6952,Switzerland,Female,1958,Academic Degree
Learner 6960,Brazil,Female,1958,Academic Degree
Learner 6965,Switzerland,Male,1958,Master's Degree
Learner 6977,Netherlands,Male,1958,Master's Degree
Learner 6999,China,Male,1958,Academic Degree
Learner 7026,Indonesia,Female,1958,Academic Degree
Learner 7054,China,Female,1958,Master's Degree
Learner 6586,Brazil,Female,1959,Academic Degree
Learner 6591,India,Male,1959,Academic Degree
Learner 6601,Mexico,Female,1959,Master's Degree
Learner 6604,Turkey,Female,1959,Master's Degree
Learner 6615,Indonesia,Male,1959,Master's Degree
Learner 6629,Turkey,Female,1959,Master's Degree
Learner 6631,Japan,Female,1959,Master's Degree
Learner 6632,India,Female,1959,Academic Degree
Learner 6648,Ukraine,Male,1959,Academic Degree
Learner 6653,Indonesia,Female,1959,Master's Degree
Learner 6655,Ukraine,Male,1959,Master's Degree
Learner 6662,Brazil,Male,1959,Academic Degree
Learner 6699,Ukraine,Female,1959,Academic Degree
Learner 6709,Ukraine,Male,1959,Academic Degree
Learner 6724,Brazil,Female,1959,Master's Degree
Learner 6725,Indonesia,Female,1959,Master's Degree
Learner 6745,Indonesia,Male,1959,Academic Degree
Learner 6746,China,Female,1959,Academic Degree
Learner 6764,Mexico,Male,1959,Academic Degree
Learner 6777,Mexico,Male,1959,Master's Degree
Learner 6781,India,Male,1959,Academic Degree
Learner 6785,Brazil,Female,1959,Master's Degree
Learner 6800,Turkey,Female,1959,Master's Degree
Learner 6805,Switzerland,Male,1959,Master's Degree
Learner 6811,India,Male,1959,Master's Degree
Learner 6815,Turkey,Female,1959,Master's Degree
Learner 6825,Indonesia,Male,1959,Academic Degree
Learner 6859,Japan,Female,1959,Master's Degree
Learner 6862,India,Female,1959,Master's Degree
Learner 6867,India,Male,1959,Academic Degree
Learner 6873,Brazil,Male,1959,Master's Degree
Learner 6879,Indonesia,Male,1959,Master's Degree
Learner 6882,China,Female,1959,Academic Degree
Learner 6887,Brazil,Female,1959,Master's Degree
Learner 6894,Brazil,Female,1959,Master's Degree
Learner 6910,Japan,Female,1959,Master's Degree
Learner 6918,India,Male,1959,Master's Degree
Learner 6923,Switzerland,Female,1959,Academic Degree
Learner 6925,Brazil,Male,1959,Master's Degree
Learner 6928,Switzerland,Male,1959,Academic Degree
Learner 6937,Ukraine,Male,1959,Master's Degree
Learner 6946,Japan,Female,1959,Academic Degree
Learner 6953,Mexico,Female,1959,Master's Degree
Learner 6961,Brazil,Male,1959,Master's Degree
Learner 6974,Switzerland,Female,1959,Master's Degree
Learner 6976,Turkey,Female,1959,Master's Degree
Learner 6981,China,Female,1959,Academic Degree
Learner 6986,Mexico,Male,1959,Academic Degree
Learner 7025,China,Female,1959,Master's Degree
Learner 7028,Indonesia,Male,1959,Master's Degree
Learner 7045,Japan,Male,1959,Academic Degree
Learner 6570,Indonesia,Female,1960,Academic Degree
Learner 6620,Ukraine,Female,1960,Master's Degree
Learner 6622,Japan,Male,1960,Master's Degree
Learner 6624,Mexico,Female,1960,Academic Degree
Learner 6628,Netherlands,Female,1960,Master's Degree
Learner 6638,India,Male,1960,Master's Degree
Learner 6698,China,Female,1960,Master's Degree
Learner 6700,Brazil,Female,1960,Master's Degree
Learner 6705,Mexico,Female,1960,Academic Degree
Learner 6711,Japan,Male,1960,Academic Degree
Learner 6716,Indonesia,Male,1960,Academic Degree
Learner 6719,Netherlands,Male,1960,Master's Degree
Learner 6749,India,Female,1960,Master's Degree
Learner 6753,Mexico,Male,1960,Academic Degree
Learner 6758,China,Male,1960,Academic Degree
Learner 6782,India,Male,1960,Master's Degree
Learner 6786,Mexico,Male,1960,Academic Degree
Learner 6787,Indonesia,Female,1960,Master's Degree
Learner 6793,Ukraine,Female,1960,Academic Degree
Learner 6806,Netherlands,Female,1960,Academic Degree
Learner 6822,China,Male,1960,Academic Degree
Learner 6830,Netherlands,Male,1960,Academic Degree
Learner 6860,China,Female,1960,Academic Degree
Learner 6861,India,Female,1960,Master's Degree
Learner 6872,Mexico,Male,1960,Master's Degree
Learner 6874,Switzerland,Female,1960,Academic Degree
Learner 6886,India,Female,1960,Academic Degree
Learner 6888,Mexico,Male,1960,Master's Degree
Learner 6890,Switzerland,Female,1960,Master's Degree
Learner 6908,China,Male,1960,Academic Degree
Learner 6919,China,Female,1960,Academic Degree
Learner 6922,Brazil,Female,1960,Academic Degree
Learner 6926,China,Female,1960,Academic Degree
Learner 6933,Indonesia,Female,1960,Master's Degree
Learner 6936,Turkey,Male,1960,Master's Degree
Learner 6939,Brazil,Female,1960,Academic Degree
Learner 6966,Indonesia,Male,1960,Academic Degree
Learner 6984,Mexico,Male,1960,Academic Degree
Learner 6985,India,Male,1960,Academic Degree
Learner 6991,Netherlands,Female,1960,Academic Degree
Learner 6993,Netherlands,Female,1960,Academic Degree
Learner 7000,Indonesia,Female,1960,Academic Degree
Learner 7009,India,Female,1960,Academic Degree
Learner 7013,Mexico,Male,1960,Academic Degree
Learner 7015,Switzerland,Male,1960,Master's Degree
Learner 7033,Brazil,Female,1960,Master's Degree
Learner 7042,China,Male,1960,Academic Degree
Learner 7047,Turkey,Male,1960,Academic Degree
Learner 6580,Japan,Male,1961,Master's Degree
Learner 6588,Netherlands,Female,1961,Academic Degree
Learner 6618,India,Female,1961,Academic Degree
Learner 6621,Indonesia,Male,1961,Academic Degree
Learner 6642,Netherlands,Male,1961,Master's Degree
Learner 6643,Brazil,Female,1961,Master's Degree
Learner 6652,Turkey,Female,1961,Master's Degree
Learner 6664,Turkey,Female,1961,Master's Degree
Learner 6669,China,Female,1961,Master's Degree
Learner 6675,China,Male,1961,Master's Degree
Learner 6679,Mexico,Male,1961,Academic Degree
Learner 6680,Indonesia,Male,1961,Master's Degree
Learner 6682,India,Female,1961,Master's Degree
Learner 6684,Netherlands,Male,1961,Master's Degree
Learner 6691,Mexico,Male,1961,Academic Degree
Learner 6702,Netherlands,Male,1961,Academic Degree
Learner 6706,Mexico,Female,1961,Academic Degree
Learner 6726,Indonesia,Female,1961,Academic Degree
Learner 6747,Japan,Female,1961,Master's Degree
Learner 6769,Indonesia,Male,1961,Master's Degree
Learner 6784,Brazil,Female,1961,Master's Degree
Learner 6789,Ukraine,Male,1961,Academic Degree
Learner 6799,Indonesia,Female,1961,Academic Degree
Learner 6812,Ukraine,Male,1961,Master's Degree
Learner 6817,India,Female,1961,Master's Degree
Learner 6818,China,Male,1961,Academic Degree
Learner 6819,Japan,Male,1961,Academic Degree
Learner 6826,Japan,Female,1961,Master's Degree
Learner 6827,Japan,Female,1961,Master's Degree
Learner 6834,China,Female,1961,Academic Degree
Learner 6835,Switzerland,Female,1961,Master's Degree
Learner 6848,Brazil,Female,1961,Master's Degree
Learner 6871,Turkey,Female,1961,Master's Degree
Learner 6883,Turkey,Male,1961,Master's Degree
Learner 6895,Brazil,Female,1961,Academic Degree
Learner 6899,Switzerland,Female,1961,Master's Degree
Learner 6950,Brazil,Female,1961,Master's Degree
Learner 6959,Turkey,Female,1961,Academic Degree
Learner 6992,Indonesia,Male,1961,Academic Degree
Learner 7008,Turkey,Male,1961,Academic Degree
Learner 7030,Ukraine,Female,1961,Academic Degree
Learner 7048,India,Female,1961,Master's Degree
Learner 7050,Turkey,Female,1961,Academic Degree
Learner 6583,Mexico,Female,1962,Master's Degree
Learner 6589,Mexico,Female,1962,Academic Degree
Learner 6599,Indonesia,Male,1962,Academic Degree
Learner 6602,India,Male,1962,Master's Degree
Learner 6606,China,Male,1962,Academic Degree
Learner 6611,Japan,Male,1962,Master's Degree
Learner 6614,Brazil,Male,1962,Master's Degree
Learner 6627,Ukraine,Female,1962,Academic Degree
Learner 6657,India,Female,1962,Academic Degree
Learner 6663,Netherlands,Male,1962,Master's Degree
Learner 6674,Netherlands,Female,1962,Master's Degree
Learner 6712,Netherlands,Male,1962,Academic Degree
Learner 6742,Brazil,Female,1962,Master's Degree
Learner 6743,Mexico,Male,1962,Academic Degree
Learner 6752,Brazil,Female,1962,Academic Degree
Learner 6768,India,Male,1962,Master's Degree
Learner 6803,India,Male,1962,Academic Degree
Learner 6807,India,Male,1962,Master's Degree
Learner 6809,Japan,Male,1962,Master's Degree
Learner 6813,Turkey,Female,1962,Master's Degree
Learner 6838,Netherlands,Male,1962,Master's Degree
Learner 6842,Indonesia,Female,1962,Academic Degree
Learner 6866,Netherlands,Female,1962,Academic Degree
Learner 6875,Brazil,Male,1962,Academic Degree
Learner 6914,Japan,Male,1962,Master's Degree
Learner 6920,Netherlands,Female,1962,Master's Degree
Learner 6924,Netherlands,Male,1962,Academic Degree
Learner 6929,Ukraine,Female,1962,Master's Degree
Learner 6931,Mexico,Male,1962,Academic Degree
Learner 6963,Netherlands,Female,1962,Master's Degree
Learner 6968,India,Male,1962,Academic Degree
Learner 6978,Ukraine,Male,1962,Master's Degree
Learner 6990,Indonesia,Male,1962,Academic Degree
Learner 7001,Japan,Female,1962,Academic Degree
Learner 7023,Brazil,Male,1962,Master's Degree
Learner 7036,Turkey,Female,1962,Master's Degree
Learner 7038,China,Male,1962,Master's Degree
Learner 7041,Indonesia,Female,1962,Academic Degree
Learner 7044,Mexico,Female,1962,Academic Degree
Learner 6587,Mexico,Female,1963,Academic Degree
Learner 6594,Switzerland,Male,1963,Academic Degree
Learner 6597,Switzerland,Male,1963,Master's Degree
Learner 6600,Mexico,Female,1963,Academic Degree
Learner 6610,Japan,Male,1963,Master's Degree
Learner 6623,Netherlands,Female,1963,Master's Degree
Learner 6630,India,Male,1963,Academic Degree
Learner 6639,Netherlands,Female,1963,Academic Degree
Learner 6654,Switzerland,Female,1963,Master's Degree
Learner 6661,China,Female,1963,Academic Degree
Learner 6667,Netherlands,Female,1963,Master's Degree
Learner 6668,Brazil,Female,1963,Academic Degree
Learner 6681,India,Male,1963,Academic Degree
Learner 6686,Turkey,Female,1963,Master's Degree
Learner 6687,Switzerland,Female,1963,Master's Degree
Learner 6696,China,Female,1963,Academic Degree
Learner 6708,Indonesia,Female,1963,Master's Degree
Learner 6733,Netherlands,Female,1963,Master's Degree
Learner 6737,Turkey,Male,1963,Academic Degree
Learner 6755,Ukraine,Male,1963,Academic Degree
Learner 6761,Netherlands,Female,1963,Master's Degree
Learner 6763,Indonesia,Male,1963,Master's Degree
Learner 6766,Japan,Male,1963,Master's Degree
Learner 6776,Indonesia,Female,1963,Academic Degree
Learner 6796,India,Female,1963,Master's Degree
Learner 6797,Mexico,Male,1963,Academic Degree
Learner 6820,Switzerland,Female,1963,Master's Degree
Learner 6837,Netherlands,Female,1963,Master's Degree
Learner 6855,Indonesia,Female,1963,Academic Degree
Learner 6864,Turkey,Male,1963,Master's Degree
Learner 6878,Turkey,Male,1963,Academic Degree
Learner 6884,China,Female,1963,Academic Degree
Learner 6905,Netherlands,Female,1963,Master's Degree
Learner 6915,Netherlands,Male,1963,Master's Degree
Learner 6944,Switzerland,Female,1963,Master's Degree
Learner 6956,Japan,Male,1963,Master's Degree
Learner 6957,Switzerland,Female,1963,Academic Degree
Learner 6970,Brazil,Male,1963,Academic Degree
Learner 6979,India,Female,1963,Academic Degree
Learner 6995,Japan,Female,1963,Academic Degree
Learner 6996,China,Female,1963,Academic Degree
Learner 7022,Turkey,Female,1963,Academic Degree
Learner 7027,Mexico,Female,1963,Master's Degree
Learner 7032,Mexico,Female,1963,Academic Degree
Learner 7034,India,Male,1963,Master's Degree
Learner 7043,Indonesia,Male,1963,Master's Degree
Learner 6576,India,Female,1964,Master's Degree
Learner 6577,Turkey,Female,1964,Academic Degree
Learner 6590,Turkey,Male,1964,Academic Degree
Learner 6593,Netherlands,Female,1964,Academic Degree
Learner 6612,Indonesia,Male,1964,Academic Degree
Learner 6633,Japan,Female,1964,Academic Degree
Learner 6634,Ukraine,Male,1964,Master's Degree
Learner 6646,Turkey,Female,1964,Master's Degree
Learner 6665,Japan,Male,1964,Master's Degree
Learner 6690,Netherlands,Female,1964,Master's Degree
Learner 6703,China,Female,1964,Master's Degree
Learner 6707,Switzerland,Male,1964,Academic Degree
Learner 6720,India,Female,1964,Master's Degree
Learner 6721,Mexico,Male,1964,Academic Degree
Learner 6722,Turkey,Male,1964,Academic Degree
Learner 6730,China,Female,1964,Master's Degree
Learner 6732,Indonesia,Female,1964,Master's Degree
Learner 6734,Brazil,Female,1964,Academic Degree
Learner 6740,Switzerland,Female,1964,Master's Degree
Learner 6748,Netherlands,Male,1964,Master's Degree
Learner 6750,Mexico,Female,1964,Academic Degree
Learner 6756,Netherlands,Male,1964,Master's Degree
Learner 6765,Switzerland,Male,1964,Master's Degree
Learner 6773,China,Female,1964,Master's Degree
Learner 6774,Mexico,Female,1964,Master's Degree
Learner 6792,China,Male,1964,Academic Degree
Learner 6802,Turkey,Male,1964,Academic Degree
Learner 6831,Mexico,Female,1964,Master's Degree
Learner 6851,Turkey,Female,1964,Master's Degree
Learner 6853,Japan,Male,1964,Academic Degree
Learner 6898,Netherlands,Male,1964,Master's Degree
Learner 6902,Indonesia,Male,1964,Master's Degree
Learner 6917,Japan,Male,1964,Master's Degree
Learner 6947,India,Female,1964,Academic Degree
Learner 6988,China,Male,1964,Academic Degree
Learner 6989,Netherlands,Female,1964,Academic Degree
Learner 6998,Netherlands,Male,1964,Master's Degree
Learner 7003,Mexico,Male,1964,Master's Degree
Learner 7010,Brazil,Male,1964,Academic Degree
Learner 7019,Ukraine,Female,1964,Academic Degree
Learner 7021,China,Male,1964,Academic Degree
Learner 7035,Turkey,Female,1964,Academic Degree
Learner 7039,Switzerland,Male,1964,Master's Degree
Learner 5651,South Korea,Female,1965,Master's Degree
Learner 5671,Germany,Female,1965,Academic Degree
Learner 5675,South Korea,Female,1965,Master's Degree
Learner 5707,France,Female,1965,Academic Degree
Learner 5733,Italy,Male,1965,Master's Degree
Learner 5745,South Korea,Female,1965,Master's Degree
Learner 5753,France,Male,1965,Master's Degree
Learner 5816,Italy,Female,1965,Academic Degree
Learner 5818,Germany,Male,1965,Master's Degree
Learner 5837,Spain,Female,1965,Academic Degree
Learner 5847,Italy,Female,1965,Master's Degree
Learner 5852,Germany,Female,1965,Master's Degree
Learner 5862,Saudi Arabia,Male,1965,Master's Degree
Learner 5864,South Korea,Male,1965,Academic Degree
Learner 5872,Italy,Male,1965,Master's Degree
Learner 5889,France,Male,1965,Master's Degree
Learner 5923,Saudi Arabia,Male,1965,Academic Degree
Learner 5957,Spain,Female,1965,Academic Degree
Learner 6013,Saudi Arabia,Female,1965,Academic Degree
Learner 6028,France,Male,1965,Academic Degree
Learner 6036,Germany,Male,1965,Academic Degree
Learner 6069,Italy,Male,1965,Academic Degree
Learner 6071,France,Female,1965,Master's Degree
Learner 6078,Germany,Male,1965,Academic Degree
Learner 6082,South Korea,Male,1965,Master's Degree
Learner 6099,Spain,Female,1965,Academic Degree
Learner 6106,Spain,Female,1965,Master's Degree
Learner 6115,Spain,Female,1965,Academic Degree
Learner 6127,Germany,Female,1965,Master's Degree
Learner 6129,Germany,Male,1965,Master's Degree
Learner 6135,Saudi Arabia,Female,1965,Academic Degree
Learner 6138,Spain,Female,1965,Master's Degree
Learner 6145,South Korea,Male,1965,Master's Degree
Learner 6156,Germany,Female,1965,Master's Degree
Learner 6162,Saudi Arabia,Female,1965,Academic Degree
Learner 6166,Italy,Male,1965,Master's Degree
Learner 6191,Saudi Arabia,Female,1965,Master's Degree
Learner 6204,Italy,Male,1965,Master's Degree
Learner 6205,Spain,Female,1965,Master's Degree
Learner 6212,France,Female,1965,Master's Degree
Learner 6214,France,Female,1965,Master's Degree
Learner 6215,Germany,Male,1965,Master's Degree
Learner 6219,Saudi Arabia,Male,1965,Master's Degree
Learner 6239,Saudi Arabia,Male,1965,Academic Degree
Learner 6285,Saudi Arabia,Female,1965,Academic Degree
Learner 6319,Spain,Male,1965,Academic Degree
Learner 6327,South Korea,Male,1965,Academic Degree
Learner 6348,Spain,Female,1965,Master's Degree
Learner 6369,South Korea,Female,1965,Academic Degree
Learner 6389,South Korea,Female,1965,Master's Degree
Learner 6399,Germany,Female,1965,Master's Degree
Learner 6421,Spain,Female,1965,Master's Degree
Learner 6422,Italy,Male,1965,Academic Degree
Learner 6446,Spain,Female,1965,Academic Degree
Learner 6454,South Korea,Female,1965,Academic Degree
Learner 6470,Germany,Male,1965,Master's Degree
Learner 6493,Japan,Female,1965,Master's Degree
Learner 6494,Ukraine,Female,1965,Academic Degree
Learner 6532,Mexico,Female,1965,Master's Degree
Learner 6564,Switzerland,Female,1965,Academic Degree
Learner 5644,France,Female,1966,Academic Degree
Learner 5657,France,Male,1966,Academic Degree
Learner 5676,Spain,Male,1966,Academic Degree
Learner 5685,Spain,Male,1966,Master's Degree
Learner 5695,Italy,Female,1966,Academic Degree
Learner 5738,Saudi Arabia,Female,1966,Academic Degree
Learner 5786,Germany,Female,1966,Academic Degree
Learner 5790,France,Male,1966,Academic Degree
Learner 5813,Spain,Female,1966,Master's Degree
Learner 5826,South Korea,Female,1966,Master's Degree
Learner 5845,Saudi Arabia,Male,1966,Academic Degree
Learner 5858,Germany,Female,1966,Academic Degree
Learner 5860,Germany,Female,1966,Academic Degree
Learner 5893,Italy,Male,1966,Academic Degree
Learner 5951,Spain,Female,1966,Academic Degree
Learner 5956,South Korea,Female,1966,Academic Degree
Learner 5958,Saudi Arabia,Female,1966,Academic Degree
Learner 5992,Germany,Male,1966,Academic Degree
Learner 6020,Germany,Male,1966,Master's Degree
Learner 6040,Saudi Arabia,Male,1966,Academic Degree
